"id","name","supertype","hp","types","evolvesTo","evolvesFrom","number","artist","rarity","flavorText","nationalPokedexNumbers","regulationMark","imageSmall","imageLarge","legalitiesUnlimited","legalitiesStandard","legalitiesExpanded","retreatCost","convertedRetreatCost","Ability1Name","Ability1Text","Ability1Type","Ability2Name","Ability2Text","Ability2Type","Attack1Name","Attack1Cost","Attack1ConvertedCost","Attack1Damage","Attack1Text","Attack2Name","Attack2Cost","Attack2ConvertedCost","Attack2Damage","Attack2Text","Weakness1Type","Weakness1Value"
"mcd17-1","Rowlet","Pokemon","60","Grass","Dartrix",,"1","Megumi Mizutani",,"This wary Pokemon uses photosynthesis to store up energy during the day, while becoming active at night.","722",,"https://images.pokemontcg.io/mcd17/1.png","https://images.pokemontcg.io/mcd17/1_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Tackle","Colorless","1","10","","Leafage","Grass, Colorless","2","20","","Fire","x2"
"mcd17-2","Grubbin","Pokemon","70","Grass","Charjabug",,"2","Akira Komayama",,"They often gather near places frequented by electric Pokemon in order to avoid being attacked by bird Pokemon.","736",,"https://images.pokemontcg.io/mcd17/2.png","https://images.pokemontcg.io/mcd17/2_hires.png","Legal",,"Legal","Colorless, Colorless","2","","","","","","","Vice Grip","Colorless, Colorless","2","20","","","","","","","Fire","x2"
"mcd17-3","Litten","Pokemon","70","Fire","Torracat",,"3","Akira Komayama",,"While grooming itself, it builds up fur inside its stomach. It sets the fur alight and spews fiery attacks, which change based on how it coughs.","725",,"https://images.pokemontcg.io/mcd17/3.png","https://images.pokemontcg.io/mcd17/3_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Bite","Fire","1","10","","Flare","Fire, Colorless","2","20","","Water","x2"
"mcd17-4","Popplio","Pokemon","70","Water","Brionne",,"4","Kouki Saitou",,"This Pokemon snorts body fluids from its nose, blowing balloons to smash into its foes. It's famous for being a hard worker.","728",,"https://images.pokemontcg.io/mcd17/4.png","https://images.pokemontcg.io/mcd17/4_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Pound","Water","1","10","","Water Gun","Water, Colorless","2","20","","Grass","x2"
"mcd17-5","Pikachu","Pokemon","70","Lightning","Raichu",,"5","kirisAki",,"A plan was recently announced to gather many Pikachu and make an electric power plant.","25",,"https://images.pokemontcg.io/mcd17/5.png","https://images.pokemontcg.io/mcd17/5_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Thunder Wave","Lightning","1","","Flip a coin. If heads, your opponent's Active Pokemon is now Paralyzed.","Electro Ball","Lightning, Colorless, Colorless","3","50","","Fighting","x2"
"mcd17-6","Cosmog","Pokemon","60","Psychic","Cosmoem",,"6","Megumi Mizutani",,"Its body is gaseous and frail. It slowly grows as it collects dust from the atmosphere.","789",,"https://images.pokemontcg.io/mcd17/6.png","https://images.pokemontcg.io/mcd17/6_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Dust Gathering","Colorless","1","","Draw a card.","","","","","","Psychic","x2"
"mcd17-7","Crabrawler","Pokemon","80","Fighting","Crabominable",,"7","Shin Nagasawa",,"It punches so much, its pincers often come off from overuse, but they grow back quickly. What little meat they contain is rich and delicious.","739",,"https://images.pokemontcg.io/mcd17/7.png","https://images.pokemontcg.io/mcd17/7_hires.png","Legal",,"Legal","Colorless, Colorless","2","","","","","","","Punch","Colorless, Colorless","2","20","","Crabhammer","Fighting, Colorless, Colorless","3","40","","Psychic","x2"
"mcd17-8","Alolan Meowth","Pokemon","70","Darkness","Persian",,"8","Kagemaru Himeno",,"This Pokemon was not originally found in Alola. Human actions caused a surge in their numbers, and they went feral. They're prideful and crafty.","52",,"https://images.pokemontcg.io/mcd17/8.png","https://images.pokemontcg.io/mcd17/8_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Fury Swipes","","0","10x","Flip 3 coins. This attack does 10 damage for each heads.","","","","","","Fighting","x2"
"mcd17-9","Alolan Diglett","Pokemon","50","Metal","Dugtrio",,"9","Megumi Mizutani",,"Its head sports an altered form of whiskers made of metal. When in communication with its comrades, its whiskers wobble to and fro.","50",,"https://images.pokemontcg.io/mcd17/9.png","https://images.pokemontcg.io/mcd17/9_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Spelunk","","0","","Look at the top 3 cards of your deck and put them back in any order.","Mud-Slap","Metal","1","10","","Fire","x2"
"mcd17-10","Cutiefly","Pokemon","30","Fairy","Ribombee",,"10","Hitoshi Ariga",,"It feeds on the nectar and pollen of flowers. Because it's able to sense auras, it can identify which flowers are about to bloom.","742",,"https://images.pokemontcg.io/mcd17/10.png","https://images.pokemontcg.io/mcd17/10_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Fly Around","Fairy","1","10","If any damage is done to this Pokemon by attacks during your opponent's next turn, flip a coin. If heads, prevent that damage.","","","","","","Metal","x2"
"mcd17-11","Pikipek","Pokemon","50","Colorless","Trumbeak",,"11","Shin Nagasawa",,"This Pokemon feeds on berries, whose leftover seeds become the ammunition for the attacks it fires off from its mouth.","731",,"https://images.pokemontcg.io/mcd17/11.png","https://images.pokemontcg.io/mcd17/11_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Rock Smash","Colorless","1","10+","Flip a coin. If heads, this attack does 10 more damage.","","","","","","Lightning","x2"
"mcd17-12","Yungoos","Pokemon","70","Colorless","Gumshoos",,"12","match",,"With its sharp fangs, it will bite anything. It did not originally live in Alola but was imported from another region.","734",,"https://images.pokemontcg.io/mcd17/12.png","https://images.pokemontcg.io/mcd17/12_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Tackle","Colorless","1","10","","Bite","Colorless, Colorless","2","20","","Fighting","x2"
