"id","name","supertype","hp","types","evolvesTo","evolvesFrom","number","artist","rarity","flavorText","nationalPokedexNumbers","regulationMark","imageSmall","imageLarge","legalitiesUnlimited","legalitiesStandard","legalitiesExpanded","retreatCost","convertedRetreatCost","Ability1Name","Ability1Text","Ability1Type","Ability2Name","Ability2Text","Ability2Type","Attack1Name","Attack1Cost","Attack1ConvertedCost","Attack1Damage","Attack1Text","Attack2Name","Attack2Cost","Attack2ConvertedCost","Attack2Damage","Attack2Text","Weakness1Type","Weakness1Value"
"mcd21-1","Bulbasaur","Pokémon","70","Grass","Ivysaur",,"1","Mizue",,"A strange seed was planted on its back at birth. The plant sprouts and grows with this Pokémon.","1",,"https://images.pokemontcg.io/mcd21/1.png","https://images.pokemontcg.io/mcd21/1_hires.png","Legal",,"Legal","Colorless, Colorless","2","","","","","","","Razor Leaf","Grass, Colorless","2","30","","","","","","","Fire","×2"
"mcd21-2","Chikorita","Pokémon","70","Grass","Bayleef",,"2","sowsow",,"It uses the leaf on its head to determine the temperature and humidity. It loves to sunbathe.","152",,"https://images.pokemontcg.io/mcd21/2.png","https://images.pokemontcg.io/mcd21/2_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Mini Drain","Grass","1","10","Heal 10 damage from this Pokémon.","","","","","","Fire","×2"
"mcd21-3","Treecko","Pokémon","60","Grass","Grovyle",,"3","Akira Komayama",,"Small hooks on the bottom of its feet catch on walls and ceilings. That is how it can hang from above.","252",,"https://images.pokemontcg.io/mcd21/3.png","https://images.pokemontcg.io/mcd21/3_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Quick Attack","Grass","1","10+","Flip a coin. If heads, this attack does 10 more damage.","","","","","","Fire","×2"
"mcd21-4","Turtwig","Pokémon","80","Grass","Grotle",,"4","OOYAMA",,"It undertakes photosynthesis with its body, making oxygen. The leaf on its head wilts if it is thirsty.","387",,"https://images.pokemontcg.io/mcd21/4.png","https://images.pokemontcg.io/mcd21/4_hires.png","Legal",,"Legal","Colorless, Colorless","2","","","","","","","Tackle","Colorless, Colorless","2","20","","Razor Leaf","Grass, Grass, Colorless","3","50","","Fire","×2"
"mcd21-5","Snivy","Pokémon","60","Grass","Servine",,"5","Ken Sugimori",,"It is very intelligent and calm. Being exposed to lots of sunlight makes its movements swifter.","495",,"https://images.pokemontcg.io/mcd21/5.png","https://images.pokemontcg.io/mcd21/5_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Slam","Grass, Colorless","2","20×","Flip 2 coins. This attack does 20 damage times the number of heads.","","","","","","Fire","×2"
"mcd21-6","Chespin","Pokémon","60","Grass","Quilladin",,"6","5ban Graphics",,"The quills on its head are usually soft. When it flexes them, the points become so hard and sharp that they can pierce rock.","650",,"https://images.pokemontcg.io/mcd21/6.png","https://images.pokemontcg.io/mcd21/6_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Vine Whip","Grass","1","10","","Seed Bomb","Grass, Colorless","2","20","","Fire","×2"
"mcd21-7","Rowlet","Pokémon","60","Grass","Dartrix",,"7","Megumi Mizutani",,"This wary Pokémon uses photosynthesis to store up energy during the day, while becoming active at night.","722",,"https://images.pokemontcg.io/mcd21/7.png","https://images.pokemontcg.io/mcd21/7_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Tackle","Colorless","1","10","","Leafage","Grass, Colorless","2","20","","Fire","×2"
"mcd21-8","Grookey","Pokémon","60","Grass","Thwackey",,"8","kirisAki",,"When it uses its special stick to strike up a beat, the sound waves produced carry revitalizing energy to the plants and flowers in the area.","810","D","https://images.pokemontcg.io/mcd21/8.png","https://images.pokemontcg.io/mcd21/8_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Branch Poke","Grass, Colorless","2","30","","","","","","","Fire","×2"
"mcd21-9","Charmander","Pokémon","70","Fire","Charmeleon",,"9","Kagemaru Himeno",,"The flame on its tail indicates Charmander's life force. If it is healthy, the flame burns brightly.","4",,"https://images.pokemontcg.io/mcd21/9.png","https://images.pokemontcg.io/mcd21/9_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Scratch","Colorless","1","10","","Flame Tail","Fire, Colorless","2","20","","Water","×2"
"mcd21-10","Cyndaquil","Pokémon","70","Fire","Quilava",,"10","kirisAki",,"It has a timid nature. If it is startled, the flames on its back burn more vigorously.","155",,"https://images.pokemontcg.io/mcd21/10.png","https://images.pokemontcg.io/mcd21/10_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Hammer In","Colorless, Colorless","2","30","","","","","","","Water","×2"
"mcd21-11","Torchic","Pokémon","60","Fire","Combusken",,"11","sui",,"A fire burns inside, so it feels very warm to hug. It launches fireballs of 1,800 degrees Fahrenheit.","255",,"https://images.pokemontcg.io/mcd21/11.png","https://images.pokemontcg.io/mcd21/11_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Ember","Fire","1","20","Flip a coin. If tails, discard a Fire Energy attached to this Pokémon.","","","","","","Water","×2"
"mcd21-12","Chimchar","Pokémon","60","Fire","Monferno",,"12","Kouki Saitou",,"The gas made in its belly burns from its rear end. The fire burns weakly when it feels sick.","390",,"https://images.pokemontcg.io/mcd21/12.png","https://images.pokemontcg.io/mcd21/12_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Fury Swipes","Colorless","1","10×","Flip 3 coins. This attack does 10 damage for each heads.","","","","","","Water","×2"
"mcd21-13","Tepig","Pokémon","70","Fire","Pignite",,"13","Ken Sugimori",,"It blows fire through its nose. When it catches a cold, the fire becomes pitch-black smoke instead.","498",,"https://images.pokemontcg.io/mcd21/13.png","https://images.pokemontcg.io/mcd21/13_hires.png","Legal",,"Legal","Colorless, Colorless","2","","","","","","","Ember","Fire, Colorless","2","30","Discard an Energy attached to this Pokémon.","","","","","","Water","×2"
"mcd21-14","Fennekin","Pokémon","60","Fire","Braixen",,"14","5ban Graphics",,"Eating a twig fills it with energy, and its roomy ears give vent to air hotter than 390 degrees Fahrenheit.","653",,"https://images.pokemontcg.io/mcd21/14.png","https://images.pokemontcg.io/mcd21/14_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Scratch","Fire","1","10","","Live Coal","Fire, Colorless","2","20","","Water","×2"
