"id","name","supertype","hp","types","evolvesTo","evolvesFrom","number","artist","rarity","flavorText","nationalPokedexNumbers","regulationMark","imageSmall","imageLarge","legalitiesUnlimited","legalitiesStandard","legalitiesExpanded","retreatCost","convertedRetreatCost","Ability1Name","Ability1Text","Ability1Type","Ability2Name","Ability2Text","Ability2Type","Attack1Name","Attack1Cost","Attack1ConvertedCost","Attack1Damage","Attack1Text","Attack2Name","Attack2Cost","Attack2ConvertedCost","Attack2Damage","Attack2Text","Weakness1Type","Weakness1Value"
"mcd18-1","Growlithe","Pokémon","80","Fire","Arcanine",,"1","MAHOU",,"It's both clever and loyal, but if a stranger tries to invade its territory, it barks threateningly.","58",,"https://images.pokemontcg.io/mcd18/1.png","https://images.pokemontcg.io/mcd18/1_hires.png","Legal",,"Legal","Colorless, Colorless","2","","","","","","","Take Down","Fire, Colorless, Colorless","3","60","This Pokémon does 20 damage to itself.","","","","","","Water","×2"
"mcd18-2","Psyduck","Pokémon","70","Water","Golduck",,"2","Shibuzoh.",,"As a result of headaches so fierce they cause it to cry, it sometimes uses psychokinesis without meaning to.","54",,"https://images.pokemontcg.io/mcd18/2.png","https://images.pokemontcg.io/mcd18/2_hires.png","Legal",,"Legal","Colorless, Colorless","2","","","","","","","Confusion Wave","Colorless","1","","Both Active Pokémon are now Confused.","","","","","","Grass","×2"
"mcd18-3","Horsea","Pokémon","60","Water","Seadra",,"3","Saya Tsuruta",,"Known to shoot down flying bugs with precision blasts of ink from the surface of the water.","116",,"https://images.pokemontcg.io/mcd18/3.png","https://images.pokemontcg.io/mcd18/3_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Water Arrow","Water","1","","This attack does 10 damage to 1 of your opponent's Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)","","","","","","Grass","×2"
"mcd18-4","Pikachu","Pokémon","60","Lightning","Raichu",,"4","Shibuzoh.",,"A plan was recently announced to gather many Pikachu and make an electric power plant.","25",,"https://images.pokemontcg.io/mcd18/4.png","https://images.pokemontcg.io/mcd18/4_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Pika Draw","Colorless","1","","Draw a card.","Quick Attack","Colorless, Colorless","2","20+","Flip a coin. If heads, this attack does 20 more damage.","Fighting","×2"
"mcd18-5","Slowpoke","Pokémon","70","Psychic","Slowbro, Slowking",,"5","Mina Nakai",,"Its long tail often breaks off. It doesn't really feel any pain, though, and the tail grows back, so Slowpoke isn't particularly bothered.","79",,"https://images.pokemontcg.io/mcd18/5.png","https://images.pokemontcg.io/mcd18/5_hires.png","Legal",,"Legal","Colorless, Colorless, Colorless","3","","","","","","","Headbutt","Colorless","1","10","","Whimsy Tackle","Psychic, Colorless, Colorless","3","60","Flip a coin. If tails, this attack does nothing.","Psychic","×2"
"mcd18-6","Machop","Pokémon","60","Fighting","Machoke",,"6","Masakazu Fukuda",,"It loves working out. As it gazes at its muscles, which continue to swell day by day, it becomes more and more dedicated to its training.","66",,"https://images.pokemontcg.io/mcd18/6.png","https://images.pokemontcg.io/mcd18/6_hires.png","Legal",,"Legal","Colorless, Colorless","2","","","","","","","Dynamic Chop","Fighting, Colorless","2","50","","","","","","","Psychic","×2"
"mcd18-7","Cubone","Pokémon","70","Fighting","Marowak",,"7","sui",,"When it thinks of its deceased mother, it weeps loudly. Mandibuzz that hear its cries will attack it from the air.","104",,"https://images.pokemontcg.io/mcd18/7.png","https://images.pokemontcg.io/mcd18/7_hires.png","Legal",,"Legal","Colorless, Colorless","2","","","","","","","Leer","Colorless","1","","Flip a coin. If heads, your opponent's Active Pokémon is now Paralyzed.","Headbutt","Colorless, Colorless","2","20","","Grass","×2"
"mcd18-8","Magnemite","Pokémon","60","Metal","Magneton",,"8","MAHOU",,"It sends out electromagnetic waves, which let it float through the air. Touching it while it's eating electricity will give you a full-body shock.","81",,"https://images.pokemontcg.io/mcd18/8.png","https://images.pokemontcg.io/mcd18/8_hires.png","Legal",,"Legal","Colorless","1","","","","","","","Searching Magnet","Colorless","1","","Search your deck for up to 3 Metal Energy cards, reveal them, and put them into your hand. Then, shuffle your deck.","Tackle","Metal","1","10","","Fire","×2"
"mcd18-9","Dratini","Pokémon","60","Dragon","Dragonair",,"9","Naoyo Kimura",,"After a 10-hour struggle, a fisherman was able to pull one up and confirm its existence.","147",,"https://images.pokemontcg.io/mcd18/9.png","https://images.pokemontcg.io/mcd18/9_hires.png","Legal",,"Legal","Colorless, Colorless","2","","","","","","","Signs of Evolution","Grass","1","","Search your deck for a Dratini, a Dragonair, and a Dragonite, reveal them, and put them into your hand. Then, shuffle your deck.","Tail Smack","Lightning","1","10","","Fairy","×2"
"mcd18-10","Chansey","Pokémon","110","Colorless","Blissey",,"10","Megumi Mizutani",,"The eggs laid by Chansey are rich in nutrients and a favorite food of many Pokémon.","113",,"https://images.pokemontcg.io/mcd18/10.png","https://images.pokemontcg.io/mcd18/10_hires.png","Legal",,"Legal","Colorless, Colorless","2","","","","","","","Bind Wound","Colorless, Colorless","2","","Flip a coin. If heads, heal 30 damage from 1 of your Pokémon.","Hammer In","Colorless, Colorless, Colorless, Colorless","4","80","","Fighting","×2"
