"id","name","supertype","subtypes","hp","types","rarity","retreatCost","convertedRetreatCost","AbilityName","AbilityText","Attack1Name","Attack1Cost","Attack1ConvertedCost","Attack1Damage","Attack1Text","Attack2Name","Attack2Cost","Attack2ConvertedCost","Attack2Damage","Attack2Text","Weakness1Type","Weakness1Value"
"ex14-1","Banette","Pokemon","Stage 1","70","Psychic","Rare Holo","Colorless","1","Safeguard","Prevent all effects of attacks, including damage, done to Banette by your opponent's Pokemon-ex.","Night Murmurs","Psychic, Colorless","2","30","If the Defending Pokemon is a Basic Pokemon, that Pokemon is now Confused.","","","","","","Darkness","x2"
"ex14-2","Blastoise δ","Pokemon","Stage 2","110","Fighting, Metal","Rare Holo","Colorless, Colorless, Colorless","3","Shield Veil","Each of your Active Pokemon has no Weakness.","Enraged Linear Attack","Fighting, Colorless","2","","Choose 1 of your opponent's Pokemon. This attack does 10 damage for each damage counter on Blastoise to that Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.)","Skull Bash","Metal, Colorless, Colorless","3","60","","Lightning","x2"
"ex14-3","Camerupt","Pokemon","Stage 1","80","Fire","Rare Holo","Colorless, Colorless","2","Delta Protection","Any damage done to Camerupt by attacks from your opponent's Pokemon that has δ on its card is reduced by 40 (after applying Weakness and Resistance).","Linear Attack","Fire, Colorless","2","","Choose 1 of your opponent's Pokemon. This attack does 30 damage to that Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.)","Combustion","Fire, Colorless, Colorless","3","50","","Water","x2"
"ex14-4","Charizard δ","Pokemon","Stage 2","120","Lightning, Metal","Rare Holo","Colorless, Colorless","2","Peal of Thunder","Once during your turn, when you play Charizard from your hand to evolve 1 of your Pokemon, you may look at the top 5 cards of your deck, choose as many Energy cards as you like, and attach them to 1 of your Pokemon. Discard the other cards.","Metal Burn","Lightning, Metal, Metal, Colorless","4","120","Discard all Metal Energy attached to Charizard.","","","","","","Water","x2"
"ex14-5","Dugtrio","Pokemon","Stage 1","70","Fighting","Rare Holo","Colorless","1","Sand Veil","Prevent all damage done to your Benched Pokemon by your opponent's attacks.","Dig Under","Fighting, Colorless","2","","Choose 1 of your opponent's Pokemon. This attack does 30 damage to that Pokemon. This attack's damage isn't affected by Weakness or Resistance.","Double-edge","Fighting, Colorless, Colorless","3","60","Dugtrio does 10 damage to itself.","Grass","x2"
"ex14-6","Ludicolo δ","Pokemon","Stage 2","100","Fire","Rare Holo","Colorless, Colorless","2","Overzealous","If your opponent has any Pokemon-ex in play, each of Ludicolo's attacks does 30 more damage to the Defending Pokemon.","Knock Off","Fire, Colorless","2","30","Choose 1 card from your opponent's hand without looking and discard it.","Fire Punch","Fire, Colorless, Colorless","3","60","","Lightning","x2"
"ex14-7","Luvdisc","Pokemon","Basic","60","Water","Rare Holo","Colorless","1","","","Even Game","Colorless","1","","Count the number of your opponent's Pokemon. Search your deck for up to that number of Basic Pokemon and put them onto your Bench. Shuffle your deck afterward.","Stadium Play","Colorless","1","10","If you have a Stadium card in play, remove 1 damage counter from each of your Pokemon. If your opponent has a Stadium card in play, this attack does 10 damage to each of your opponent's Benched Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.)","Lightning","x2"
"ex14-8","Manectric","Pokemon","Stage 1","80","Lightning","Rare Holo","Colorless","1","","","Kick Away","Lightning, Colorless","2","30","Your opponent switches the Defending Pokemon with 1 of his or her Benched Pokemon, if any.","Strong Current","Lightning, Lightning, Colorless","3","50","If Manectric has a Pokemon Tool card attached to it, this attack does 20 damage to each of your opponent's Benched Pokemon-ex. (Don't apply Weakness and Resistance for Benched Pokemon.)","Fighting","x2"
"ex14-9","Mawile","Pokemon","Basic","60","Metal","Rare Holo","Colorless","1","","","Mining","Colorless","1","","Search your deck for a Trainer card, show it to your opponent, and put it into your hand. If that card is a Pokemon Tool card, you may attach it to 1 of your Pokemon instead. Shuffle your deck afterward.","Bite Off","Metal, Colorless","2","20+","If the Defending Pokemon is Pokemon-ex, this attack does 20 damage plus 30 more damage.","Fire","x2"
"ex14-10","Sableye","Pokemon","Basic","60","Darkness","Rare Holo","Colorless","1","Excavate","Once during your turn (before your attack), you may look at the top card of your deck. Put that card back on top of your deck, or discard that card. This power can't be used if Sableye is affected by a Special Condition.","Disable","Colorless","1","10","Choose 1 of the Defending Pokemon's attacks. That Pokemon can't use that attack during your opponent's next turn.","","","","","",,
